name,dietary reqs,gender,age,education,ethnicity,region,photo consent,audio consent
Abner Nigel,no fish,Female,45-59,Level 4 and above,White,Urban,yes,yes
Lane Hayward,normal,Male,16-29,No Qualifications/Level 1,White,Urban,yes,yes
Jayde Patterson,vegetarian,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Eleanora Peterson,vegetarian,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Wilson Selby,vegetarian,Male,16-29,No Qualifications/Level 1,White,Urban,yes,yes
Caelie Abrams,normal,Male,16-29,No Qualifications/Level 1,White,Rural,maybe,yes
Brooklyn Waller,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,yes
Jemima Hall,vegetarian,Female,30-44,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,no
Rae Hooper,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,no
Alannis Porter,normal,Male,16-29,No Qualifications/Level 1,White,Urban,yes,yes
Jerald Cropper,vegetarian,Female,30-44,Level 4 and above,BAME,Urban,yes,yes
Richardine Mercer,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,yes
Louie Roydon,normal,Male,60+,No Qualifications/Level 1,BAME,Urban,yes,yes
Albin Albertson,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Jaynie Hillam,normal,Female,45-59,No Qualifications/Level 1,BAME,Urban,yes,yes
Darnell Marley,normal,Female,30-44,Level 2/Level 3/Apprenticeship/Other,BAME,Urban,yes,yes
Adriana Wardrobe,vegetarian,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Rebecca Taylor,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,no
Lavonne Payton,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,BAME,Urban,yes,yes
Keri Sutton,normal,Male,60+,Level 4 and above,White,Urban,no,yes
Jemmy Forrest,normal,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Kaety Woods,normal,Male,45-59,No Qualifications/Level 1,White,Urban,yes,yes
Marni Shepherd,normal,Male,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,no
Meriel Eccleston,vegetarian,Male,16-29,No Qualifications/Level 1,w,Rural,yes,yes
Morty Thwaite,normal,Male,16-29,Level 2/Level 3/Apprenticeship/Other,BAME,Urban,yes,yes
Zack Woodham,normal,Male,30-44,Level 4 and above,White,Urban,yes,yes
Eddie Christopher,normal,Male,45-59,No Qualifications/Level 1,White,Urban,yes,yes
Beaumont Dickson,normal,Female,30-44,Level 4 and above,White,Rural,yes,yes
Zac Geary,normal,Male,45-59,No Qualifications/Level 1,White,Rural,yes,yes
Suzan Wilmer,normal,Female,16-29,No Qualifications/Level 1,White,Urban,yes,yes
Mia Battle,normal,Female,60+,Level 4 and above,White,Urban,maybe,yes
Krystine Brassington,normal,Male,16-29,No Qualifications/Level 1,White,Urban,yes,yes
Malcolm Bell,nut allergy,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Tamia Lum,normal,Female,16-29,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Korey Bone,normal,Male,30-44,Level 4 and above,White,Rural,no,no
Patton Jacobs,vegetarian,Male,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Garrett Powers,normal,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Delight Blackbourne,normal,Female,60+,No Qualifications/Level 1,White,Urban,maybe,yes
Cal Hodges,normal,Male,30-44,No Qualifications/Level 1,White,Urban,yes,yes
Nellie Denzil,normal,Male,30-44,Level 4 and above,White,Urban,maybe,yes
Don Bannister,normal,Male,30-44,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,yes
Sheard Lovell,normal,Male,60+,Level 4 and above,BAME,Urban,yes,yes
Theodora Strudwick,vegetarian,Male,16-29,Level 4 and above,BAME,Urban,yes,yes
Lennie Myers,normal,Male,60+,Level 4 and above,White,Urban,yes,yes
Dene Cox,normal,Male,30-44,No Qualifications/Level 1,BAME,Urban,maybe,yes
Marley Waterman,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Rural,maybe,yes
Meadow Southgate,normal,Female,45-59,No Qualifications/Level 1,White,Urban,yes,yes
Sawyer Snyder,normal,Female,30-44,Level 4 and above,White,Rural,no,yes
Ronny Poindexter,vegetarian,Female,60+,Level 2/Level 3/Apprenticeship/Other,BAME,Urban,yes,yes
Messiah Lynwood,normal,Male,30-44,Level 4 and above,White,Rural,maybe,yes
Jeremiah Millard,normal,Male,16-29,No Qualifications/Level 1,White,Urban,yes,yes
Cherie Thorley,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Racquel Colt,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Ricki Courtney,normal,Female,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Abe Tennyson,normal,Male,45-59,No Qualifications/Level 1,White,Urban,yes,no
Pip Auteberry,normal,Female,30-44,Level 4 and above,BAME,Urban,yes,yes
Dulcibella Elliott,vegetarian,Male,30-44,Level 2/Level 3/Apprenticeship/Other,White,Rural,yes,yes
Elmer Minett,normal,Female,45-59,Level 4 and above,White,Urban,yes,yes
Kieran Lovel,normal,Female,30-44,No Qualifications/Level 1,White,Rural,yes,yes
Dulcibella Backus,normal,Female,16-29,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,yes
Lynn Madison,normal,Male,60+,No Qualifications/Level 1,White,Urban,yes,no
Fay Thompsett,normal,Male,60+,No Qualifications/Level 1,BAME,Urban,yes,no
Geneva Marlow,normal,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Savanna Revie,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,yes
Cierra Prescott,normal,Male,45-59,Level 4 and above,BAME,Urban,no,yes
Messiah Huxley,normal,Male,30-44,Level 4 and above,White,Urban,yes,no
Jaxson Bull,normal,Female,16-29,No Qualifications/Level 1,BAME,Rural,yes,yes
Keegan Nye,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,w,Rural,maybe,yes
Janetta Foster,normal,Female,30-44,Level 2/Level 3/Apprenticeship/Other,White,Urban,no,yes
Kian Close,normal,Male,45-59,No Qualifications/Level 1,White,Urban,maybe,no
Trev Foss,normal,Female,30-44,No Qualifications/Level 1,White,Urban,yes,yes
Ashleigh Whitney,normal,Female,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Donald Allan,normal,Male,30-44,No Qualifications/Level 1,White,Rural,no,yes
Hortense Platt,normal,Male,60+,No Qualifications/Level 1,White,Rural,yes,yes
Coreen Snider,normal,Male,16-29,Level 4 and above,White,Urban,yes,yes
Elfreda Adamson,halal,Female,45-59,Level 4 and above,White,Urban,yes,yes
Chanelle Becket,normal,Female,30-44,Level 4 and above,White,Rural,maybe,yes
Kilie Hunter,normal,Female,60+,Level 4 and above,White,Urban,no,yes
Hiram Bloxam,normal,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Dean Jacobson,normal,Female,16-29,Level 2/Level 3/Apprenticeship/Other,White,Rural,maybe,yes
Orpha Fairchild,normal,Female,60+,No Qualifications/Level 1,BAME,Urban,maybe,no
Flossie Mayes,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Ann Tennyson,normal,Female,16-29,Level 4 and above,White,Urban,yes,yes
Suzie Appleton,vegetarian,Male,16-29,Level 4 and above,White,Urban,yes,no
Belinda Elder,vegetarian,Female,45-59,Level 4 and above,White,Urban,yes,yes
Page Young,normal,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Bertrand Whinery,normal,Male,16-29,No Qualifications/Level 1,White,Urban,maybe,no
Arthur Blakeley,vegetarian,Female,30-44,No Qualifications/Level 1,White,Rural,yes,yes
Mary AnnLeavitt,normal,Female,30-44,Level 2/Level 3/Apprenticeship/Other,BAME,Urban,yes,yes
Erma Seward,normal,Female,45-59,No Qualifications/Level 1,White,Urban,yes,yes
Gracelynn Evelyn,normal,Female,45-59,Level 4 and above,White,Urban,yes,yes
Corine Berry,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,no,yes
Sanford Sherburn,vegan,Male,30-44,No Qualifications/Level 1,White,Rural,maybe,yes
Kalla Carver,normal,Male,16-29,No Qualifications/Level 1,White,Rural,yes,yes
Cleveland Hambleton,normal,Other,45-59,Level 2/Level 3/Apprenticeship/Other,White,Rural,yes,no
Niles Jacobson,normal,Female,30-44,No Qualifications/Level 1,White,Urban,yes,yes
Maggie Bristol,normal,Female,16-29,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Bonnie Appleby,vegetarian,Male,30-44,Level 4 and above,White,Urban,yes,yes
Floella Drake,normal,Male,30-44,Level 2/Level 3/Apprenticeship/Other,White,Urban,maybe,yes
Odetta Waterman,normal,Female,45-59,No Qualifications/Level 1,White,Rural,yes,yes
Cherry Penn,normal,Male,16-29,Level 4 and above,White,Urban,no,no
Laurel Wade,normal,Female,16-29,Level 4 and above,White,Urban,yes,yes
Ron Moors,normal,Male,60+,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Addy Caulfield,vegetarian,Male,16-29,Level 4 and above,White,Rural,yes,yes
Ben Cooper,normal,Female,16-29,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Eliott Woodcock,fish allergy,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Amy Kingston,normal,Female,60+,No Qualifications/Level 1,White,Urban,yes,yes
Corie Rake,normal,Female,45-59,Level 2/Level 3/Apprenticeship/Other,White,Urban,yes,yes
Jaquelyn Reed,normal,Male,30-44,Level 2/Level 3/Apprenticeship/Other,black and minority ethnic,Urban,no,yes
Benedict Hibbert,normal,Female,16-29,No Qualifications/Level 1,White,Urban,yes,yes
